# command: taskset -c 2 python3 scripts/spike_explicit_state.py --opt all --iterations 1000000 --repetitions 9
# format: implementation<TAB>operation<TAB>batch<TAB>rep<TAB>ns_per_step<TAB>ns_per_event
# correctness, both Roc modes: observed_calls=18 resource_allocations=7 resource_deallocations=7 max_independent=2
# allocations, both Roc modes: roundtrip=0/step; transition=1/step and 1,0.25,0.0625/event for batches 1,4,16
# allocations, Go: roundtrip=0/step; unique=0/step; replace=1/step
go	replace	4	3	18.147	4.537
go	replace	4	4	18.034	4.508
go	replace	4	5	18.062	4.516
go	replace	4	6	18.029	4.507
go	replace	4	7	18.055	4.514
go	replace	4	8	18.062	4.516
go	unique	16	0	20.420	1.276
go	unique	16	1	20.399	1.275
go	unique	16	2	20.409	1.276
go	unique	16	3	20.406	1.275
go	unique	16	4	20.403	1.275
go	unique	16	5	20.395	1.275
go	unique	16	6	20.400	1.275
go	unique	16	7	20.395	1.275
go	unique	16	8	20.450	1.278
go	replace	16	0	28.931	1.808
go	replace	16	1	28.899	1.806
go	replace	16	2	29.022	1.814
go	replace	16	3	28.982	1.811
go	replace	16	4	29.016	1.813
go	replace	16	5	28.967	1.810
go	replace	16	6	29.028	1.814
go	replace	16	7	28.940	1.809
go	replace	16	8	28.990	1.812
