goos: linux
goarch: amd64
pkg: basic-webserver/research/datastar-parity/go-reference
cpu: AMD Ryzen 7 9700X 8-Core Processor
BenchmarkOfficialSDKFinite/brotli-idiomatic/65536-16               	     501	    855085 ns/op	  76.64 MB/s	       100.0 wire-B/response	17833752 B/op	     171 allocs/op
BenchmarkOfficialSDKFinite/brotli-idiomatic/65536-16               	     457	    872653 ns/op	  75.10 MB/s	       100.0 wire-B/response	17830634 B/op	     170 allocs/op
BenchmarkOfficialSDKFinite/brotli-idiomatic/65536-16               	     406	    866213 ns/op	  75.66 MB/s	       100.0 wire-B/response	17828163 B/op	     170 allocs/op
BenchmarkOfficialSDKFinite/brotli-equivalent-q4-w18/65536-16       	    1399	    282435 ns/op	 232.04 MB/s	       110.0 wire-B/response	 2743288 B/op	      75 allocs/op
BenchmarkOfficialSDKFinite/brotli-equivalent-q4-w18/65536-16       	    1238	    268250 ns/op	 244.31 MB/s	       110.0 wire-B/response	 2749086 B/op	      76 allocs/op
BenchmarkOfficialSDKFinite/brotli-equivalent-q4-w18/65536-16       	    1267	    288724 ns/op	 226.99 MB/s	       110.0 wire-B/response	 2745368 B/op	      76 allocs/op
BenchmarkOfficialSDKFinite/brotli-equivalent-q4-w18/65536-16       	    1351	    266334 ns/op	 246.07 MB/s	       110.0 wire-B/response	 2745494 B/op	      76 allocs/op
BenchmarkOfficialSDKFinite/brotli-equivalent-q4-w18/65536-16       	    1336	    279962 ns/op	 234.09 MB/s	       110.0 wire-B/response	 2745456 B/op	      75 allocs/op
BenchmarkOfficialSDKPersistent/identity/256-16                     	 2437016	       154.5 ns/op	1656.73 MB/s	       305.0 wire-B/event	     544 B/op	       6 allocs/op
BenchmarkOfficialSDKPersistent/identity/256-16                     	 2446629	       150.7 ns/op	1699.04 MB/s	       305.0 wire-B/event	     544 B/op	       6 allocs/op
BenchmarkOfficialSDKPersistent/identity/256-16                     	 2215113	       157.0 ns/op	1630.92 MB/s	       305.0 wire-B/event	     544 B/op	       6 allocs/op
BenchmarkOfficialSDKPersistent/identity/256-16                     	 2330120	       143.1 ns/op	1789.53 MB/s	       305.0 wire-B/event	     544 B/op	       6 allocs/op
BenchmarkOfficialSDKPersistent/identity/256-16                     	 2495773	       145.0 ns/op	1766.08 MB/s	       305.0 wire-B/event	     544 B/op	       6 allocs/op
BenchmarkOfficialSDKPersistent/brotli-idiomatic/256-16             	  123301	      2825 ns/op	  90.63 MB/s	        11.00 wire-B/event	     631 B/op	       6 allocs/op
BenchmarkOfficialSDKPersistent/brotli-idiomatic/256-16             	  122119	      2830 ns/op	  90.45 MB/s	        11.00 wire-B/event	     631 B/op	       6 allocs/op
BenchmarkOfficialSDKPersistent/brotli-idiomatic/256-16             	  124230	      2941 ns/op	  87.04 MB/s	        11.00 wire-B/event	     630 B/op	       6 allocs/op
BenchmarkOfficialSDKPersistent/brotli-idiomatic/256-16             	  119984	      2882 ns/op	  88.84 MB/s	        11.00 wire-B/event	     633 B/op	       6 allocs/op
BenchmarkOfficialSDKPersistent/brotli-idiomatic/256-16             	  116254	      2860 ns/op	  89.51 MB/s	        11.00 wire-B/event	     636 B/op	       6 allocs/op
BenchmarkOfficialSDKPersistent/brotli-equivalent-q4-w18/256-16     	  129038	      2805 ns/op	  91.26 MB/s	        11.00 wire-B/event	     558 B/op	       6 allocs/op
BenchmarkOfficialSDKPersistent/brotli-equivalent-q4-w18/256-16     	  127366	      2779 ns/op	  92.12 MB/s	        11.00 wire-B/event	     557 B/op	       6 allocs/op
BenchmarkOfficialSDKPersistent/brotli-equivalent-q4-w18/256-16     	  127932	      2855 ns/op	  89.65 MB/s	        11.00 wire-B/event	     558 B/op	       6 allocs/op
BenchmarkOfficialSDKPersistent/brotli-equivalent-q4-w18/256-16     	  128356	      2814 ns/op	  90.98 MB/s	        11.00 wire-B/event	     558 B/op	       6 allocs/op
BenchmarkOfficialSDKPersistent/brotli-equivalent-q4-w18/256-16     	  130180	      2813 ns/op	  90.99 MB/s	        11.00 wire-B/event	     558 B/op	       6 allocs/op
BenchmarkOfficialSDKPersistent/identity/4096-16                    	  676850	       462.6 ns/op	8853.91 MB/s	      4145 wire-B/event	    5142 B/op	       6 allocs/op
BenchmarkOfficialSDKPersistent/identity/4096-16                    	  745075	       471.8 ns/op	8681.01 MB/s	      4145 wire-B/event	    5141 B/op	       6 allocs/op
BenchmarkOfficialSDKPersistent/identity/4096-16                    	  769286	       473.0 ns/op	8660.17 MB/s	      4145 wire-B/event	    5141 B/op	       6 allocs/op
BenchmarkOfficialSDKPersistent/identity/4096-16                    	  758856	       475.1 ns/op	8620.95 MB/s	      4145 wire-B/event	    5142 B/op	       6 allocs/op
BenchmarkOfficialSDKPersistent/identity/4096-16                    	  707198	       474.4 ns/op	8634.55 MB/s	      4145 wire-B/event	    5141 B/op	       6 allocs/op
BenchmarkOfficialSDKPersistent/brotli-idiomatic/4096-16            	   38881	      9031 ns/op	 453.56 MB/s	        13.00 wire-B/event	    5407 B/op	       6 allocs/op
BenchmarkOfficialSDKPersistent/brotli-idiomatic/4096-16            	   38336	      9039 ns/op	 453.17 MB/s	        13.00 wire-B/event	    5411 B/op	       6 allocs/op
BenchmarkOfficialSDKPersistent/brotli-idiomatic/4096-16            	   39478	      9036 ns/op	 453.28 MB/s	        13.00 wire-B/event	    5403 B/op	       6 allocs/op
BenchmarkOfficialSDKPersistent/brotli-idiomatic/4096-16            	   39067	      9041 ns/op	 453.07 MB/s	        13.00 wire-B/event	    5407 B/op	       6 allocs/op
BenchmarkOfficialSDKPersistent/brotli-idiomatic/4096-16            	   39140	      9314 ns/op	 439.76 MB/s	        13.00 wire-B/event	    5406 B/op	       6 allocs/op
BenchmarkOfficialSDKPersistent/brotli-equivalent-q4-w18/4096-16    	   32930	     10996 ns/op	 372.51 MB/s	        13.00 wire-B/event	    5227 B/op	       6 allocs/op
BenchmarkOfficialSDKPersistent/brotli-equivalent-q4-w18/4096-16    	   33199	     11145 ns/op	 367.51 MB/s	        13.00 wire-B/event	    5226 B/op	       6 allocs/op
BenchmarkOfficialSDKPersistent/brotli-equivalent-q4-w18/4096-16    	   32427	     11502 ns/op	 356.13 MB/s	        13.00 wire-B/event	    5225 B/op	       6 allocs/op
BenchmarkOfficialSDKPersistent/brotli-equivalent-q4-w18/4096-16    	   32895	     11470 ns/op	 357.11 MB/s	        13.00 wire-B/event	    5222 B/op	       6 allocs/op
BenchmarkOfficialSDKPersistent/brotli-equivalent-q4-w18/4096-16    	   32412	     11331 ns/op	 361.47 MB/s	        13.00 wire-B/event	    5227 B/op	       6 allocs/op
PASS
ok  	basic-webserver/research/datastar-parity/go-reference	32.543s
